"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"2006"	2681.01651584285	-1.93475541820701	0.116710004833298	-16.5774598413435	1.01426241878655e-61	2.81314293512495e-60	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidothermales"	"Acidothermaceae"	"Thermobispora"	NA
"2020"	2564.61931195489	-1.84285597820197	0.111426091489058	-16.5388191721949	1.9276394546711e-61	5.247462959938e-60	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"	"Thermomonospora"	NA
"566"	4846.77172396018	6.11837589988725	0.371101492965148	16.4870689444029	4.54467462735939e-61	1.21466758222151e-59	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Pseudescherichia"	NA
"571913"	2196.79939096539	-1.62386846016924	0.0990648892271744	-16.3919676571324	2.18263593510715e-60	5.72941932965628e-59	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermacoccaceae"	"Luteipulveratus"	NA
"178339"	431.152503835147	-1.60831342797645	0.098158039897552	-16.384938306175	2.45017454149087e-60	6.31887118595014e-59	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Pauljensenia"	NA
"1133546"	2249.10491099765	-1.80443902661937	0.110375027912762	-16.3482543175034	4.47620800582863e-60	1.13448720147726e-58	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermatophilaceae"	"Luteimicrobium"	NA
"767452"	6875.25142523562	-1.81892404598267	0.111291822377038	-16.3437349405643	4.82072543672372e-60	1.20109599864133e-58	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Serinicoccus"	NA
"2014"	6825.3262373783	-1.65009809633471	0.10157045635259	-16.2458470266845	2.39017201485896e-59	5.85592143640445e-58	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Nocardiopsaceae"	"Nocardiopsis"	NA
"2603206"	1480.62251491914	-1.50353921488469	0.0928594559085435	-16.1915574474775	5.78457112999627e-59	1.39398681329418e-57	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Ruaniaceae"	"Ruania"	NA
"1654"	9981.23412892384	-1.59588553300415	0.0988588315667922	-16.1430750061609	1.27050742397829e-58	3.01233211814208e-57	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	NA
"2692125"	359.014959643123	-1.62604734439836	0.101413705408331	-16.0338027079403	7.4199889094704e-58	1.73133074554309e-56	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Winkia"	NA
"399"	68722.5842510929	4.56544748552992	0.287005601376356	15.9071720678481	5.65089308089542e-57	1.29793950451817e-55	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Neorhizobium"	NA
"1795630"	2659.46524099532	-1.56706856923327	0.0986714996559715	-15.8816737831798	8.48827579713094e-57	1.91965621873577e-55	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Frondihabitans"	NA
"1670830"	2442.53848817844	-1.94079482226518	0.122257183766008	-15.8746894250381	9.48793744884431e-57	2.11322243178805e-55	"Bacteria"	"Actinobacteria"	"Nitriliruptoria"	"Egicoccales"	"Egicoccaceae"	"Egicoccus"	NA
"94254"	22903.6422748737	5.94002249443628	0.375019871910325	15.8392206369711	1.66876275042567e-56	3.66131528824737e-55	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Dyadobacter"	NA
"2760083"	2363.18185540423	-1.65005836238638	0.104315652997036	-15.8179363784768	2.34038673586061e-56	5.05936544369868e-55	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Dietziaceae"	"Tomitella"	NA
"544"	48378.7652936182	6.40926678941811	0.406200654280692	15.778573278686	4.36953459385135e-56	9.23496656657764e-55	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Citrobacter"	NA
"1979344"	295357.391241897	7.78993667205154	0.493716136308437	15.7781690715998	4.39760312694173e-56	9.23496656657764e-55	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	NA
"2735133"	1644.688248335	-1.72652099827805	0.109619016840758	-15.7501959790987	6.84687986754431e-56	1.41759343736481e-54	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Herbiconiux"	NA
"562"	17985.5698539085	6.45010690232863	0.410698874974685	15.7051973973053	1.39343292815402e-55	2.84492556164779e-54	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	NA
"326319"	140.502407821334	2.68626815817299	0.171319982353482	15.6798297622425	2.07810426382167e-55	4.18467570933953e-54	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Dokdonia"	NA
"547"	1010800.58176581	9.3921940344445	0.602434874373473	15.5903889930215	8.46167315537176e-55	1.68089993762115e-53	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	NA
"262209"	7204.50565348483	-1.95325020209844	0.125547092582706	-15.5579086852346	1.40618963073039e-54	2.75613167623157e-53	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Janibacter"	NA
"584609"	605.894008811182	3.95903045264579	0.255190283923419	15.514032869033	2.78803841058902e-54	5.39265324153402e-53	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA
"320324"	561.593404445897	3.81528646182709	0.246644745472316	15.4687522514252	5.63894606869469e-54	1.07652606765989e-52	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Formosa"	NA
"1330547"	24606.8943591542	6.2328827481886	0.404753266240184	15.3992154432423	1.6566714631355e-53	3.12218852667845e-52	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kosakonia"	NA
"61648"	5176.96064375772	6.09645803794698	0.396133757161115	15.3898978002711	1.91334244034969e-53	3.56027011052411e-52	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kluyvera"	NA
"530584"	1967.64147802983	-1.66671372010385	0.109036347191809	-15.2858543323346	9.5008804713652e-53	1.74578678661335e-51	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Prauserella"	NA
"2654547"	1508.28367780757	-1.72728448987831	0.113077894541104	-15.2751737807644	1.11929251614213e-52	2.0313086404061e-51	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Cellulomonadaceae"	"Pseudactinotalea"	NA
"279828"	838.923768106265	-1.79327684198615	0.117506555741754	-15.2610791003633	1.38931602122203e-52	2.49060311121511e-51	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microcella"	NA
"1749"	2829.90583561959	-1.61711975896256	0.105988570450736	-15.2574919360216	1.46782574885344e-52	2.59964319375248e-51	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Acidipropionibacterium"	NA
"1790137"	101.55100037215	3.83358069783162	0.251369063991044	15.2508054768753	1.62614651321673e-52	2.84575639812928e-51	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Wenyingzhuangia"	NA
"1813880"	2776.92973868304	-2.14203962696645	0.140659463264858	-15.2285496990206	2.28606514642199e-52	3.95354795910627e-51	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Tetrasphaera"	NA
"497"	352.809040723127	2.47964971284796	0.162942541002634	15.2179393888787	2.68866960493098e-52	4.59574920842853e-51	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	NA
"639313"	524.995031594081	-1.65795580853019	0.108969799716268	-15.2148192696245	2.81997137632862e-52	4.76477922207249e-51	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Hoyosella"	NA
"2024580"	7008.18959712746	-2.11045010261249	0.139562600509403	-15.1218886357043	1.16162616079335e-51	1.94044370041616e-50	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Plantactinospora"	NA
"28901"	19022.4481054909	6.12722514422476	0.407201714264683	15.0471496793406	3.60432376969861e-51	5.95320892298535e-50	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	NA
"131568"	3571.76117746564	-2.05803494049527	0.137457991983186	-14.9721010092088	1.11734810304613e-50	1.82500190164201e-49	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Kineosporiales"	"Kineosporiaceae"	"Kineococcus"	NA
"117157"	3702.33545432723	-2.00574326346688	0.13412017473094	-14.9548214315305	1.44869781757791e-50	2.34020416685662e-49	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Actinopolymorpha"	NA
"2736252"	367.336518559551	3.55162142064054	0.238397748075632	14.897881583654	3.40195580970432e-50	5.43573373941886e-49	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Aquimarina"	NA
"2202249"	10136.25954367	-1.71263191082773	0.114990162333779	-14.8937254811113	3.62022269861066e-50	5.72228749135233e-49	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Streptosporangiaceae"	"Streptosporangium"	NA
"2498451"	140.948859529809	2.5633983162681	0.17221992121867	14.8844471541322	4.15910130227539e-50	6.50412650462215e-49	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"Rheinheimera"	NA
"1836"	11533.8566511423	-1.68962797855802	0.113546404991947	-14.8805061567369	4.41149347479042e-50	6.82620569257045e-49	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Saccharopolyspora"	NA
"2686077"	633.48199962747	3.55181338437408	0.238785693879738	14.8744814928608	4.82710331786306e-50	7.39150195547781e-49	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Winogradskyella"	NA
"642780"	5906.70466410754	-2.1474397687258	0.14552742526123	-14.75625480813	2.80426721074979e-49	4.24976577299195e-48	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Marmoricola"	NA
"565"	3277.6488724168	5.93421034932426	0.402751966147304	14.7341561261401	3.89026427005809e-49	5.83539640508714e-48	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Atlantibacter"	NA
"414996"	1271.78134274098	-1.93404786632747	0.131826520832192	-14.6711591424718	9.86453654710264e-49	1.46473421456979e-47	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinopolysporales"	"Actinopolysporaceae"	"Actinopolyspora"	NA
"286802"	554.742059349257	-1.64244458343395	0.111999792260213	-14.6647109810526	1.08478075067066e-48	1.59462770348587e-47	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Segniliparaceae"	"Segniliparus"	NA
"1608957"	2682.33473760881	-1.87255325694325	0.128089938504323	-14.6190503236134	2.12341544842204e-48	3.09051555364396e-47	"Bacteria"	"Actinobacteria"	"Nitriliruptoria"	"Euzebyales"	"Euzebyaceae"	"Euzebya"	NA
"2592654"	1058.49515477754	-1.71278168947649	0.117624154894261	-14.5614792388196	4.9377652709486e-48	7.11619112577886e-47	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Lysinimonas"	NA
"1972431"	2769.35546163189	6.27202832681026	0.431318675023643	14.5415181164285	6.61100838750161e-48	9.43512847536638e-47	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Phytobacter"	NA
"556499"	2728.69025267273	-1.6852933645577	0.116393707826467	-14.4792480283413	1.63880207047662e-47	2.31638369576984e-46	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Propionibacterium"	NA
"2759943"	2941.10549802287	-1.7102319196768	0.118364438725572	-14.4488660453328	2.54846996422371e-47	3.56785794991319e-46	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Protaetiibacter"	NA
"43357"	4216.51907201033	-1.71504203689689	0.118726420342418	-14.4453276023192	2.68278658652127e-47	3.72046819074176e-46	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Kutzneria"	NA
"65496"	5825.55738228304	-1.68103358610066	0.117392955232279	-14.3197143540214	1.64799176749433e-46	2.26406345627726e-45	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Actinoalloteichus"	NA
"247"	288.501999899785	3.64069893108158	0.255172003785106	14.2676268441565	3.48228404997577e-46	4.73977551246702e-45	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Weeksellaceae"	"Empedobacter"	NA
"2069432"	93.1238345916213	3.43417534061911	0.240728507653306	14.2657609358214	3.5766917850135e-46	4.82361185685306e-45	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tamlana"	NA
"582"	872.103205372794	3.99542149583811	0.280842478599731	14.2265568789989	6.2693391200891e-46	8.37811682411907e-45	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Morganella"	NA
"29405"	8452.10254844991	-1.85812364371066	0.130655719476346	-14.2215254805364	6.73682049010761e-46	8.92173524365602e-45	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Microlunatus"	NA
